,曲目,曲师,难度,定数,分数,ptt,评级,离线
145,REKKA RESONANCE,REDALiCE vs Kobaryo,PRS,8.3,9910562,9.85,EX+,
146,Coastal Highway,Glitch Droids,FTR,8.6,9850346,9.85,EX,
147,Hikari,THB,FTR,8.1,9949440,9.85,EX+,
148,Lazy Addiction,sky_delta,FTR,9.4,9632262,9.84,AA,
149,Lucifer,chitose,FTR,8.2,9925278,9.83,EX+,
150,Journey,ARForest,FTR,8.6,9840383,9.8,EX,
151,Rabbit In The Black Room,Rabbit House,FTR,8.4,9877610,9.79,EX,
152,SOUNDWiTCH,HATE,FTR,9.9,9389069,9.53,A,
153,next to you,uma feat. 橘花音,BYD,9.6,9466178,9.49,A,
154,Monochrome Princess,polysha,FTR,9.6,9461726,9.47,A,
155,SUPERNOVA,BACO,FTR,9.8,9399682,9.47,A,
156,Nhelv,Silentroom,FTR,9.9,9342010,9.37,A,
157,Vexaria,ak+q,BYD,8.8,9631204,9.24,AA,
158,Strongholds,Yooh,FTR,9.2,9507240,9.22,AA,
159,memoryfactory.lzh,Frums,FTR,8.9,9583815,9.18,AA,
160,GENOCIDER,DJ Myosuke,PRS,8.5,9703316,9.18,AA,
161,Purple Verse,Hommarju,FTR,9.5,9384920,9.12,A,
162,Vandalism,Ashrount,FTR,9.7,9310848,9.07,A,
163,Antagonism,Yooh vs. siromaru,FTR,9.9,9243358,9.04,A,
164,PRAGMATISM,Laur,FTR,10.1,9167308,8.99,B,
165,conflict,siromaru + cranky,FTR,10.1,9148467,8.93,B,
166,Dement ~after legend~,Cosmograph,BYD,9.9,9207502,8.93,A,
167,LunarOrbit -believe in the Espebranch road-,Apo11o program ft. 大瀬良あい,FTR,9.6,9291931,8.91,A,
168,dropdead,Frums,FTR,9.1,9344535,8.58,A,
169,OMAKENO Stroke,t+pazolite,FTR,9.5,9200859,8.5,A,
170,Infinity Heaven,HyuN,BYD,9.6,9123368,8.34,B,
171,Got hive of Ra,E.G.G.,FTR,9.8,8961431,8.0,B,
172,DX Choseinou Full Metal Shojo,IOSYS TRAX (uno with.ちよこ),FTR,9.8,8905214,7.82,B,
